customer_id,purchase_id,product_id,title_en,price,category_translated,sub_category_translated,brand_name,popularity_rank,is_discount,main_delivery_city
S151,31,1,10 eggs laid in the barn.,1.79,dairy products and eggs,eggs,,2,1,Jelgava
S151,31,34,Curd cheese KÁRUMS caramel 45g,0.39,dairy products and eggs,cottage cheese products,Kārums,5,1,Jelgava
S151,31,30,Curd cheese KÁRUMS vanilla 45g,0.39,dairy products and eggs,cottage cheese products,Kārums,1,1,Jelgava
S151,31,42,Cottage cheese FARM MILK 8% 250g,0.9,dairy products and eggs,cottage cheese products,Farm Milk,13,0,Jelgava
S151,31,27,Sour cream FARM MILK 18% 400g,1.09,dairy products and eggs,tangy and sweet cream,Farm Milk,20,0,Jelgava
S151,31,63,Strawberry cottage cheese 35g,0.18,dairy products and eggs,cottage cheese products,Mio & Rio,34,1,Jelgava
S151,31,76,Milk UHT without lactose WELL DONE 1.5% 1L,1.19,dairy products and eggs,milk,Well Done,6,0,Jelgava
S151,31,89,Fermented milk prod. LAKTO m.zem. 450 g,1.19,dairy products and eggs,milk,Lakto,19,0,Jelgava
S151,31,96,Cheese TILZITES CESVAINES MILK 50% kg,12.99,dairy products and eggs,cheese,Cesvaine,2,0,Jelgava
S151,31,1534,"W.wash.to.WOOLITE Col.Fruity30m.r.1,8L",5.19,cleaning and pets,laundry and cleaning products,WOOLITE,2,0,Jelgava
S151,31,207,Small plum tomatoes 250g,1.39,fruits and vegetables,vegetables,,6,0,Jelgava
S151,31,189,Apples GRANNY SMITH kg,1.99,fruits and vegetables,fruit,,34,0,Jelgava
S151,31,202,Carrots kg,0.69,fruits and vegetables,vegetables,,1,1,Jelgava
S151,31,166,Oranges large C1/2 kg,1.49,fruits and vegetables,fruit,,11,1,Jelgava
S151,31,122,Processed cheese FARM MILK 150g,1.12,dairy products and eggs,cheese,Farm Milk,28,1,Jelgava
S151,31,159,Avocado pcs.,0.79,fruits and vegetables,fruit,,4,1,Jelgava
S151,31,322,Baltmaize Galda baked in Latvia 300g,0.99,bread and pastry products,bread,Latvijas Maiznieks,11,0,Jelgava
S151,31,403,Mini bread roll with apple filling 45g,0.35,bread and pastry products,freshly baked,Mantinga,2,1,Jelgava
S151,31,418,Pie with cream and raisins MEISTARA MARKA 480g,2.99,bread and pastry products,freshly baked,Meistara Marka,17,0,Jelgava
S151,32,3,Eggs laid in the barn WELL DONE M size 10 pcs.,2.49,dairy products and eggs,eggs,Well Done,4,0,Jelgava
